0,8,22,1,2,2,1
0,8,8,1,2,4,1
5,10,2,0,0,8,1
0,6,4E-05,1,2,0.9,0
0,6,0.001,1,5,0.17,0
0,2,0.25,1,2,30,0
70,0,57,1,2,7,1
32,4,440,0,2,13,0
0,2,220,1,2,42,0
18,10,0.4,1,10,6,1
0,8,0.18,1,8,20,0
0,8,0.002,1,8,1,0
0,6,0.001,1,5,6,0
0,6,0.002,1,3,0.17,0
0,6,0,1,5,0.15,0
0,6,3E-05,1,3,0.08,0
0,6,0.0016,1,2,0.15,0
0,6,0.0016,1,2,0.07,0
0,6,0.003,1,2,0.8,0
0,6,1E-05,1,5,0.15,0
0,6,6E-05,1,5,0.2,0
0,8,8E-05,1,8,1.5,0
0,6,0.047,1,4,3,0
30,4,140,0,2,12,0
28,4,24,0,2,7,0
30,4,320,0,2,12,0
26,4,13000,0,2,65,0
32,4,340,0,2,20,0
80,4,1000,1,2,70,0
0,2,4,1,2,5,0
0,2,3,1,2,12,0
0,2,26,1,2,22,0
36,4,880,0,2,25,0
32,4,1800,0,2,26,0
34,5,100,0,2,6,0
0,2,88,1,2,9,0
32,4,15,0,2,23,0
32,4,350,0,2,37,0
90,0,630,0,2,55,1
42,4,450,0,2,32,0
30,4,330,0,2,11,0
42,4,50,0,2,11.5,0
4,4,12000,0,2,63,0
28,4,550,0,2,17,0
50,2,12000,1,2,23,0
0,2,0.06,1,2,6,0
30,0,5,1,2,26,0
100,0,27,1,2,21,0
60,4,160,1,2,28,0
100,4,8,1,2,11,0
0,2,0.7,1,2,15,0
18,4,14,0,2,20,0
36,4,70,0,2,14,0
42,4,25,0,2,2,0
0,4,3.5,1,2,11,0
50,0,6000,0,2,26,1
40,0,3000,0,2,47,1
34,4,130,0,2,32,1
0,0,3600,0,2,37,1
0,0,220000,0,2,86,1
0,0,1,1,2,3,1
0,10,100,1,2,1.2,1
0,5,10,0,5,34,1
9,0,20,1,2,2,1
200,0,2,1,2,12,1
0,0,1,0,200,132,1
5,0,1,0,0,97,1
0,10,3,1,2,42,1
0,26,0.06,1,2,1.8,1
0,12,0.004,1,2,6,1
140,0,400,0,2,27,0
70,0,12,1,2,14,1
120,0,27,1,2,7,1
1000,0,45,1,2,5,1
0,2,50,1,2,19,0
0,0,0.13,1,200,67,1
0,0,0.00055,1,0,1.7,0
0,0,1,0,0,212,1
27000,0,2.5,1,2,0.9,1
0,4,350,1,2,82,1
100,0,8,1,2,6,1
0,0,160,0,2,8,1
0,60,4,0,0,0.8,1
0,10,8.5,1,10,17,1
36,4,3300,0,2,43,0
32,0,120,0,2,65,1
0,10,4000,1,2,41,1
0,36,1,0,0,48,1
12000,0,0.08,1,2,2.4,0
36,4,13,0,2,15,1
3000,0,1400,0,2,22,1
0,2,1,1,2,12,0
42,4,550,0,2,19,0
34,4,1000,0,2,22,1
18,4,2200,0,2,35,1
32,4,1600,0,2,19,0
32,4,72,0,2,17,0
30,4,20,0,2,15,0
32,4,1000,0,2,21,0
0,2,13,1,2,19,0
