Winner,Loser
Mississippi St.,Eastern Ky.
Arizona,Valparaiso
St. John's (NY),William & Mary
Arizona,Duquesne
St. John's (NY),Lehigh
Mississippi St.,Akron
Texas A&M,Liberty
Marshall,Alabama St.
Richmond,American
Appalachian St.,Lees-McRae
Air Force,Army West Point
Baylor,Texas Southern
Duke,Belmont
Stetson,Bethune-Cookman
Boise St.,Colo. Christian
Bowling Green,Howard
Buffalo,Saint Peter's
Southern California,CSUN
Cal St. Fullerton,Redlands
Campbell,Houston Baptist
Yale,Central Conn. St.
South Carolina St.,Claflin
Clemson,Gardner-Webb
Coastal Caro.,Covenant
Col. of Charleston,Holy Cross
Colorado,Fort Lewis
Coppin St.,Cheyney
Davidson,Guilford
Radford,Delaware
East Carolina,Milligan
Michigan,Ferris St.
Florida,Jackson St.
Florida St.,Jacksonville
Fresno St.,Illinois St.
George Mason,Rhode Island
George Washington,UMES
Georgia Tech,Florida A&M
Gonzaga,Eastern Wash.
Green Bay,Mary
Eastern Mich.,Ill.-Chicago
Indiana St.,Eastern Ill.
Iowa,Chicago St.
Jacksonville St.,Miles
Kansas,Towson
Kansas St.,Charleston So.
Kentucky,Marist
Hofstra,LIU Brooklyn
La Salle,Lafayette
Detroit Mercy,Lake Erie
Lamar University,Arkansas St.
Lipscomb,Fort Valley St.
Tulsa,Little Rock
Longwood,Navy
Louisville,UT Martin
Illinois,Loyola Chicago
Wake Forest,Loyola Maryland
UCLA,Loyola Marymount
Marquette,Mt. St. Mary's
Massachusetts,Elon
Auburn,McNeese
Miami (FL),Tennessee Tech
North Carolina,Michigan St.
Middle Tenn.,Austin Peay
Minnesota,Bucknell
Missouri,Southeast Mo. St.
Colorado St.,Montana
Arizona St.,Montana St.
Murray St.,Harris-Stowe
Creighton,N.C. A&T
Charlotte,N.C. Central
Nebraska,South Dakota
Nevada,Missouri St.
New Mexico,New Orleans
Alabama,North Florida
North Texas,St. Gregory's
Boston U.,Northeastern
Louisiana,Northern Ariz.
UMKC,Northwest Mo. St.
Ohio St.,Wright St.
Oklahoma,Idaho St.
Oklahoma St.,A&M-Corpus Christi
Ole Miss,La.-Monroe
West Virginia,Oral Roberts
UMBC,Penn
Pittsburgh,Albany (NY)
Denver,Portland St.
Presbyterian,Montreat
Purdue,Northern Ill.
Fairfield,Quinnipiac
Robert Morris,Rider
Rutgers,Dartmouth
SFA,Centenary (LA)
Sacramento St.,Menlo
Hartford,Sacred Heart
Western Ky.,Saint Joseph's
Saint Mary's (CA),Fresno Pacific
San Diego St.,Bryant
San Francisco,North Dakota St.
Santa Clara,UC Merced
South Carolina,Western Caro.
Southern U.,Dillard
St. Bonaventure,Cornell
Stanford,Central Ark.
Indiana,Stony Brook
TCU,FGCU
Saint Louis,Tennessee St.
Texas St.,Texas Lutheran
Texas Tech,Troy
Tulane,Alabama A&M
Southern Utah,UC Davis
California,UC Irvine
UC Riverside,Cal Lutheran
UC Santa Barbara,Chapman
UConn,Columbia
NC State,UNC Asheville
Tennessee,UNCG
UNLV,Grand Canyon
Arkansas,USC Upstate
DePaul,UTRGV
UTEP,UTSA
Utah St.,BYU
Utah Valley,Simpson (CA)
VCU,Saint Francis (PA)
The Citadel,VMI
Ga. Southern,Valparaiso
Vanderbilt,Oregon
Villanova,Monmouth
Weber St.,Northern N.M.
Georgia,Wofford
Xavier,Morgan St.
Alcorn,Blue Mountain (MS)
The Citadel,Army West Point
Oregon St.,CSU Bakersfield
Cal Poly,San Jose St.
Binghamton,Colgate
Delaware St.,Wilmington (DE)
Drake,Upper Iowa
Duke,Presbyterian
Virginia Tech,ETSU
Winthrop,Eastern Ky.
Evansville,Butler
Central Mich.,Ferris St.
Houston,Grambling
LSU,Nicholls St.
Iowa St.,Lehigh
Long Beach St.,Idaho
North Dakota St.,Louisiana
Milwaukee,Southwest Minn. St.
Mississippi St.,South Alabama
Manhattan,NJIT
Northern Colo.,New Mexico St.
North Dakota,Waldorf
San Francisco,Northern Ariz.
Notre Dame,Mississippi Val.
Southern Ill.,Ohio Dominican
Old Dominion,UNI
Fort Wayne,Omaha
Penn St.,Hartford
Fla. Atlantic,Portland
Princeton,Wagner
Providence,Fairleigh Dickinson
Rice,New Orleans
San Diego St.,Southern Utah
Georgetown,Savannah St.
Seton Hall,St. Francis Brooklyn
South Dakota St.,Western Mich.
Southern Miss.,Spring Hill
Syracuse,Fordham
Bryant,UC Davis
UCF,St. Thomas (FL)
Air Force,VMI
South Fla.,Vermont
Washington,Georgia St.
Dayton,Western Ill.
Hampton,William & Mary
Wisconsin,Kennesaw St.
Wyoming,Western St.
Samford,Youngstown St.
Cincinnati,Alabama St.
Arizona,Ball St.
Baylor,Jackson St.
Georgia,Bowling Green
Bradley,UMKC
California,George Washington
James Madison,Canisius
Creighton,Chicago St.
Portland,Georgia St.
Duquesne,Green Bay
Indiana,Chattanooga
Louisville,Lamar University
Lipscomb,Gardner-Webb
Little Rock,Northwestern St.
Longwood,Virginia Intermont
Marshall,Jacksonville St.
Maryland,UNCW
Loyola Marymount,Middle Tenn.
Montana St.,Northern N.M.
N.C. Central,Johnson & Wales (NC)
NC State,Morehead St.
North Dakota St.,Northern Ariz.
Ohio,UT Martin
Pacific,Cal St. Monterey Bay
Pittsburgh,Rider
Sacramento St.,Central Ark.
San Francisco,Louisiana
Texas A&M,Southern U.
Bryant,Southern Utah
St. John's (NY),UMBC
Texas,Boston U.
Tulsa,Southeastern La.
San Diego St.,UC Davis
UTEP,UC Riverside
UNC Asheville,North Carolina
Northwestern,UTRGV
Vanderbilt,Cleveland St.
Virginia,South Carolina St.
Washington,Fla. Atlantic
Wichita St.,Charleston So.
Wofford,Emory & Henry
Alabama A&M,Talladega
Brown,Albany (NY)
UMES,American
Auburn,Kennesaw St.
Houston Baptist,Bethune-Cookman
Boston College,New Hampshire
Hawaii,CSUN
Campbell,East Carolina
Niagara,Central Conn. St.
SMU,Colorado St.
Columbia,Furman
Cornell,Binghamton
Davidson,Richmond
A&M-Corpus Christi,Denver
Notre Dame,Detroit Mercy
Presbyterian,Eastern Ky.
FGCU,Ave Maria
Fairfield,Providence
Florida A&M,Stetson
Florida St.,UCF
Stanford,Fresno St.
FIU,George Mason
Fla. Atlantic,Georgia St.
Georgia Tech,Delaware St.
Idaho,Concordia (OR)
Illinois,SIUE
La.-Monroe,Indiana St.
Kansas St.,Loyola Chicago
Loyola Maryland,Coppin St.
Maine,Me.-Machias
Massachusetts,Northeastern
Michigan,Towson
Northern Ill.,Milwaukee
Minnesota,South Dakota St.
DePaul,Mississippi Val.
Missouri,Mercer
Montana,Providence (MT)
Morgan St.,Murray St.
Iowa,N.C. A&T
NJIT,Penn St.-Abington
UNLV,Nevada
Marquette,Norfolk St.
North Dakota,Idaho St.
North Florida,Savannah St.
Alabama,Oakland
Old Dominion,LIU Brooklyn
Ole Miss,Grambling
Omaha,Concordia (NE)
Oregon St.,West Ala.
Purdue,High Point
Penn St.,Radford
Saint Francis (PA),Lafayette
Saint Mary's (CA),UNI
San Diego,SFA
South Fla.,Marist
Southeast Mo. St.,Harris-Stowe
Southern California,Nebraska
Syracuse,Manhattan
TCU,Austin
Penn,Temple
Western Ky.,Tennessee St.
San Jose St.,UC Irvine
UConn,Wagner
Georgetown,UNCG
UT Arlington,East Tex. Baptist
Utah,San Diego Christian
Houston,Utah Valley
Valparaiso,Holy Cross (IN)
Virginia Tech,Monmouth
Washington,Portland
Howard,Washington Adventist
Gonzaga,Washington St.
William & Mary,Liberty
Oklahoma St.,Ark.-Pine Bluff
Arkansas St.,Missouri St.
BYU,BYU-Hawaii
Butler,Chattanooga
California,Austin Peay
Longwood,Canisius
Central Mich.,Charlotte
Charleston So.,Bluefield Col.
Cincinnati,Jacksonville St.
Cleveland St.,Rio Grande
Stanford,Colorado St.
Miami (OH),Dayton
Drake,Iowa St.
Rider,Drexel
ETSU,Appalachian St.
Eastern Wash.,South Dakota
Elon,South Carolina
Ohio St.,Florida
SMU,Fresno St.
Monmouth,George Mason
Holy Cross,Harvard
Little Rock,IUPUI
Kentucky,Kansas
West Virginia,Kent St.
Coastal Caro.,LSU
Villanova,La Salle
Fairleigh Dickinson,Lehigh
Brown,Manhattan
McNeese,Louisiana Col.
Memphis,Belmont
Miami (FL),Rutgers
Duke,Michigan St.
UCLA,Middle Tenn.
Col. of Charleston,Morehead St.
Youngstown St.,Notre Dame (OH)
Ohio,Lamar University
Arizona St.,Pepperdine
Portland St.,Seattle U
Prairie View,Arlington Baptist
Saint Peter's,Robert Morris
Southern Ill.,Saint Louis
Baylor,San Diego St.
Southeastern La.,Spring Hill
Sacred Heart,Stony Brook
Syracuse,Albany (NY)
Tennessee Tech,Reinhardt
Texas,Rhode Island
Texas Southern,Eastern Mich.
