Winner,Loser
Arizona,Valparaiso
Mississippi State,Eastern Kentucky
St. John's (NY),William & Mary
Arizona,Duquesne
Akron,Mississippi State
St. John's (NY),Lehigh
Texas A&M,Liberty
Air Force,Army
Alabama,North Florida
Appalachian State,Lees-McRae
Arizona State,Montana State
Arkansas,South Carolina Upstate
Auburn,McNeese State
Baylor,Texas Southern
Boise State,Colorado Christian
Northeastern,Boston University
Bowling Green State,Howard
Brown,Johnson & Wales (RI)
Buffalo,St. Peter's
Cal State Fullerton,Redlands
University of California,UC-Irvine
Southern Utah,UC-Davis
UC-Riverside,Cal Lutheran
UCSB,Chapman
Campbell,Houston Baptist
Yale,Central Connecticut
Charlotte,North Carolina Central
Virginia Military Institute,Citadel
Clemson,Gardner-Webb
Coastal Carolina,Covenant
College of Charleston,Holy Cross
Colorado,Fort Lewis
Colorado State,Montana
UConn,Columbia
Coppin State,Cheyney
Creighton,North Carolina A&T
Davidson,Guilford
Denver,Portland State
DePaul,Texas-Rio Grande Valley
Detroit,Lake Erie
Duke,Belmont
East Carolina,Milligan
Eastern Michigan,UIC
Fairfield,Quinnipiac
Florida,Jackson State
Florida State,Jacksonville
Fresno State,Illinois State
Furman,Roanoke
George Mason,Rhode Island
George Washington,Maryland-Eastern Shore
Georgia,Wofford
Valparaiso,Georgia Southern
Georgia Tech,Florida A&M
Gonzaga,Eastern Washington
Green Bay,Mary
Sacred Heart,Hartford
Harvard,MIT
Hofstra,LIU-Brooklyn
Illinois,Loyola (IL)
Indiana,Stony Brook
Indiana State,Eastern Illinois
Iowa,Chicago State
IUPUI,Anderson (IN)
Jacksonville State,Miles
Kansas,Towson
Kansas State,Charleston Southern
Kentucky,Marist
La Salle,Lafayette
Lamar,Arkansas State
Liberty,Randolph
Lipscomb,Fort Valley State
Navy,Longwood
Louisiana,Northern Arizona
Louisville,UT-Martin
Marquette,Mount St. Mary's
Marshall,Alabama State
Penn,UMBC
UMass,Elon
Miami (FL),Tennessee Tech
Michigan,Ferris State
UNC,Michigan State
Middle Tennessee,Austin Peay
Minnesota,Bucknell
Ole Miss,Louisiana-Monroe
Missouri,Southeast Missouri State
Northwest Missouri State,UMKC
Murray State,Harris-Stowe
Nebraska,South Dakota
Missouri State,Nevada
UNLV,Grand Canyon
New Hampshire,Suffolk
New Mexico,New Orleans
North Carolina State,North Carolina-Asheville
North Texas,St. Gregory's
Northwestern State,LeTourneau
Ohio State,Wright State
Oklahoma,Idaho State
Oklahoma State,Texas A&M-Corpus Christi
Pitt,Albany (NY)
Presbyterian,Montreat
Purdue,Northern Illinois
Radford,Delaware
Richmond,American
Robert Morris,Rider
Rutgers,Dartmouth
Sacramento State,Menlo
Saint Louis,Tennessee State
Saint Mary's (CA),Fresno Pacific
San Diego State,Bryant
North Dakota State,San Francisco
Santa Clara,UC-Merced
South Carolina,Western Carolina
South Carolina State,Claflin
Southern,Dillard
USC,Cal State Northridge
SMU,McMurry
St. Bonaventure,Cornell
Stanford,Central Arkansas
Stephen F. Austin,Centenary (LA)
Stetson,Bethune-Cookman
Tennessee,North Carolina-Greensboro
Texas Christian,Florida Gulf Coast
UTSA,UTEP
Texas State,Texas Lutheran
Texas Tech,Troy
Tulane,Alabama A&M
Tulsa,Little Rock
Loyola Marymount,UCLA
Utah State,BYU
Utah Valley,Simpson (CA)
Vanderbilt,Oregon
Villanova,Monmouth
VCU,Saint Francis (PA)
Wake Forest,Loyola (MD)
Weber State,Northern New Mexico
West Virginia,Oral Roberts
St. Joseph's,Western Kentucky
Xavier,Morgan State
Air Force,Virginia Military Institute
Akron,Hiram
Alcorn State,Blue Mountain College
Citadel,Army
Colgate,Binghamton
Bryant,UC-Davis
Cal Poly,San Jose State
UCF,St. Thomas (FL)
Central Michigan,Ferris State
Coastal Carolina,Methodist
Dayton,Western Illinois
Delaware State,Wilmington (DE)
Drake,Upper Iowa
Duke,Presbyterian
Evansville,Butler
Portland,Florida Atlantic
Georgetown,Savannah State
Hampton,William & Mary
High Point,Bridgewater (VA)
Houston,Grambling
Iowa State,Lehigh
Fort Wayne,Omaha
Long Beach State,Idaho
North Dakota State,Louisiana
LSU,Nicholls State
Manhattan,NJIT
Mercer,Emory
Milwaukee,Southwest State (MN)
Mississippi State,South Alabama
North Dakota,Waldorf
New Mexico State,Northern Colorado
Notre Dame,Mississippi Valley State
Northern Iowa,Old Dominion
Oregon State,Cal State Bakersfield
Penn State,Hartford
Pepperdine,Pomona-Pitzer
Wagner,Princeton
Providence,Fairleigh Dickinson
Radford,Shenandoah
Rice,New Orleans
Sam Houston State,Howard Payne
Youngstown State,Samford
San Diego State,Southern Utah
San Francisco,Northern Arizona
Seton Hall,St. Francis (NY)
South Dakota State,Western Michigan
South Florida,Vermont
Ohio Dominican,Southern Illinois
Southern Miss,Spring Hill
Syracuse,Fordham
Virginia Tech,ETSU
Washington,Georgia State
Eastern Kentucky,Winthrop
Wisconsin,Kennesaw State
Wyoming,Western State
Arizona,Ball State
Little Rock,Northwestern State
Baylor,Jackson State
Bradley,UMKC
Southern Utah,Bryant
University of California,George Washington
Cincinnati,Alabama State
Creighton,Chicago State
Duquesne,Green Bay
Georgia,Bowling Green State
Portland,Georgia State
Indiana,Chattanooga
James Madison,Canisius
Gardner-Webb,Lipscomb
Longwood,Virginia Intermont
Louisiana Tech,Mississippi College
Louisville,Lamar
Middle Tennessee,Loyola Marymount
Marshall,Jacksonville State
Maryland,North Carolina-Wilmington
Montana State,Northern New Mexico
Navy,Penn State-Altoona
UNC,North Carolina-Asheville
North Carolina Central,Johnson & Wales (NC)
North Carolina State,Morehead State
North Dakota State,Northern Arizona
Northwestern,Texas-Rio Grande Valley
Ohio,UT-Martin
Pacific,Cal State Monterey Bay
Pitt,Rider
Prairie View,Schreiner
Sacramento State,Central Arkansas
San Diego State,UC-Davis
San Francisco,Louisiana
St. John's (NY),UMBC
Stony Brook,Mount Ida College
Texas,Boston University
Texas A&M,Southern
UTEP,UC-Riverside
