id,name
2101,MALICE MIZER
2102,Diary of Dreams
2103,Carpathian Forest
2104,Moi dix Mois
2105,Bella Morte
2106,Moonspell
2107,Marilyn Manson
2108,DIR EN GREY
2109,Combichrist
2110,Grendel
2111,Agonoize
2112,Behemoth
2113,Hocico
2115,Dimmu Borgir
2116,London After Midnight
2117,Psyclon Nine
2118,The Crüxshadows
2119,:wumpscut:
2120,Limbonic Art
2121,Artista sconosciuto
2122,xotox
2123,The Kovenant
2124,Feindflug
2125,Cradle of Filth
2126,Tamtrum
2127,Laibach
2128,Gorgoroth
2130,And One
2131,Amduscia
2132,Covenant
2134,Icon of Coil
2136,KMFDM
2137,Funker Vogt
2138,Dawn of Ashes
2139,Sopor Aeternus & The Ensemble of Shadows
2140,The Faint
2141,God Module
2143,Noisuf-X
2144,Das Ich
2145,Mindless Self Indulgence
2146,Pyotr Ilyich Tchaikovsky
2147,Emperor
2148,Anorexia Nervosa
2149,Reaper
2150,Gothminister
2151,Duran Duran
2152,Morcheeba
2153,Air
2154,Hooverphonic
2155,Kylie Minogue
2156,Daft Punk
2157,Thievery Corporation
2158,Goldfrapp
2159,New Order
2160,Matt Bianco
2161,Talk Talk
2162,Prefab Sprout
2163,Enigma
2164,Röyksopp
2165,Coldplay
2166,Faithless
2167,Madonna
2168,Icehouse
2169,Sade
2170,Moby
2171,Dido
2172,Depeche Mode
2173,Café Del Mar
2174,Basia
2175,Camouflage
2176,Electronic
2177,George Michael
2178,The Adventures
2179,Fiction Factory
2180,Groove Armada
2181,Portishead
2182,Marc Almond
2183,Cock Robin
2184,Cut Copy
2185,Spandau Ballet
2186,Katie Melua
2187,Deacon Blue
2188,Gorillaz
2189,Lady Gaga
2190,Kosheen
2191,Nik Kershaw
2192,Vitamin Z
2193,Jean-Michel Jarre
2194,Ministry of Sound
2195,Simply Red
2196,Fleetwood Mac
2197,Duffy
2198,Japan
2199,INXS
2200,ABC
2201,Pleq
2202,Segue
2203,Max Richter
2204,Celer
2205,Pjusk
2206,Pleq & Segue
2207,Burial
2208,Magnitophono
2209,andy graydon
2210,ddekombinacja
2211,Pleq & Anna Rose Carter
2212,Go Koyashiki
2213,Dustin O'Halloran
2214,offthesky
2215,Nebulo
2216,Fjordne
2217,Pleq & Chihiro
2218,Spyweirdos
2219,billy gomberg + offthesky
2220,Deru
2221,Lukid
2222,Manekinekod
2223,Danny Norbury
2224,Shinkei & Mise En Scene
2225,aslope
2226,The Notwist
2227,Off the Sky
2228,strom noir
2229,Aless
2230,Philippe Lamy
2231,Part Timer
2232,Deaf Center
2233,Lauki
2234,Big Brotherz
2235,cokiyu
2236,Verbose
