Winner,Loser
Abilene Christian,University of the Southwest
Alabama,Kennesaw State
Arizona,Pacific
Sacramento State,Arizona State
Arkansas,Southern
Army,Ferrum
Auburn,Alabama-Birmingham
Baylor,Stephen F. Austin
Bethune-Cookman,Trinity (FL)
Northeastern,Boston University
Bradley,Ball State
BYU,Utah Valley
Bucknell,Shenandoah
Buffalo,Pittsburgh-Bradford
University of California,Rice
North Dakota State,UC-Davis
UC-Irvine,UC-San Diego
Campbell,Montreat
Hartford,Central Connecticut
Central Michigan,Jacksonville State
Elon,Charlotte
Chicago State,Illinois Tech
Cincinnati,Western Carolina
Clemson,North Carolina Central
Nevada,Coastal Carolina
College of Charleston,South Carolina State
Columbia,Kean
UConn,Maine
Dayton,Southeast Missouri State
Delaware,Delaware State
Milwaukee,Denver
Drake,Simpson
Duke,Siena
Duquesne,Seton Hill
East Carolina,Grambling
Eastern Kentucky,Coppin State
Eastern Michigan,Vermont
Florida A&M,Johnson University
Florida International,Trinity Baptist
Fresno State,Pepperdine
Furman,Presbyterian
Colgate,George Mason
George Washington,Lafayette
Chattanooga,Georgia
Georgia Southern,Webber
Georgia State,Middle Georgia State
Georgia Tech,Cornell
Grand Canyon,Portland State
Harvard,MIT
Hawaii,Montana State
Hofstra,Canisius
Idaho State,Great Falls
North Florida,Illinois
San Francisco,UIC
Incarnate Word,Texas Lutheran
Indiana,Eastern Illinois
IUPUI,Indiana State
Iowa,Gardner-Webb
Iowa State,Colorado
Kansas,Northern Colorado
Kansas State,Maryland-Eastern Shore
Kentucky,Albany (NY)
Lamar,Austin College
Liberty,Covenant
Longwood,Randolph
Louisiana,Louisiana College
Louisiana-Monroe,McMurry
LSU,McNeese State
Louisiana Tech,Millsaps
Louisville,Samford
Loyola (IL),UTSA
Loyola Marymount,Cal State Fullerton
Tennessee State,Loyola (MD)
Holy Cross,Marist
Belmont,Marquette
Maryland,Mount St. Mary's
Mercer,Allen
Miami (FL),Texas-Rio Grande Valley
Michigan,Northern Michigan
Michigan State,Florida Atlantic
Minnesota,UMKC
Ole Miss,Northwestern State
Mississippi State,Eastern Washington
Missouri,Wofford
Montana,Boise State
Morehead State,Cincinnati Christian
Murray State,Harris-Stowe
Florida,Navy
UCSB,Omaha
UNLV,Cal Poly
New Hampshire,Lyndon State
New Mexico,Texas Southern
New Mexico State,Houston Baptist
William & Mary,North Carolina State
North Carolina-Wilmington,Milligan
North Dakota,Minnesota-Morris
North Texas,Jarvis Christian
