Winner,Loser
Tennessee Tech,Alabama A&M
Akron,American
Appalachian St.,Warren Wilson
UNI,Arizona St.
George Washington,Ark.-Pine Bluff
Georgetown,Arkansas St.
Auburn,Eastern Ky.
Col. of Charleston,Boise St.
Buffalo,Nazareth
Washington,Cal St. Fullerton
Central Mich.,Marygrove
Charlotte,East Carolina
Wisconsin,Chicago St.
Colorado,La.-Monroe
BYU,Coppin St.
Clemson,Davidson
San Jose St.,Denver
Florida A&M,Johnson (FL)
Georgia,Furman
Harvard,Fisher
Iowa,Seton Hall
Louisville,Long Beach St.
Louisiana,Okla. Panhandle
Marquette,Michigan
UCF,Mississippi St.
Xavier,Missouri
Missouri St.,Fontbonne
Grambling,N.C. A&T
Lafayette,NJIT
New Hampshire,Abilene Christian
Nicholls St.,Mississippi Col.
Benedictine Mesa,Northern Ariz.
Ohio St.,Providence
Oregon,Valparaiso
Pepperdine,LIFE Pacific
Portland St.,George Fox
DePaul,Rutgers
Pittsburgh,SMU
Sacramento St.,Antelope Valley
Saint Louis,Eastern Ill.
Sam Houston St.,Southern U.
Savannah St.,Middle Ga. St.
South Dakota,Doane
South Fla.,Elon
Florida,St. Bonaventure
Stanford,Weber St.
Massachusetts,Temple
Texas,Eastern Wash.
Oklahoma,Tulane
UAB,Troy
UCLA,San Diego
Loyola Marymount,UConn
USC Upstate,UNC Asheville
Wake Forest,UTEP
Villanova,Western Mich.
Morgan St.,Wilmington (DE)
Yale,Lehigh
Alcorn,Selma
Arizona,Sacred Heart
Arkansas,UT Arlington
Alabama,Ball St.
Baylor,FGCU
Bethune-Cookman,Trinity (FL)
Bradley,Southeast Mo. St.
Xavier,Clemson
UT Martin,Cleveland St.
Utah,Coppin St.
Missouri,Davidson
Illinois,Detroit Mercy
Duquesne,Canisius
South Ala.,FIU
Fordham,Fairleigh Dickinson
Eastern Mich.,Gardner-Webb
George Mason,Mt. St. Mary's
Gonzaga,Bryant
Drexel,Hartford
Houston Baptist,Dallas Christian
IUPUI,Howard
N.C. Central,Jackson St.
Youngstown St.,Jacksonville
TCU,Jacksonville St.
Kansas,Siena
Kent St.,Hiram
LSU,North Florida
Portland,Lewis & Clark
Little Rock,Idaho
Saint Joseph's,Loyola Chicago
Manhattan,Hofstra
Pittsburgh,Marquette
Miami (OH),Delaware
Minnesota,St. John's (NY)
Boise St.,Mississippi St.
Michigan St.,Mississippi Val.
Montana St.,James Madison
Montana,NC State
Nevada,Oregon St.
New Mexico,New Mexico St.
Vanderbilt,Norfolk St.
Hawaii,North Carolina
Navy,North Dakota St.
Boston U.,Northeastern
Austin Peay,Northern Ky.
Notre Dame,Loyola Maryland
Oakland,Goshen
Georgia Tech,Ohio
UNI,Oklahoma
Ole Miss,Oral Roberts
Purdue,Georgia St.
SFA,Northeastern St.
SIUE,Southern Ill.
Michigan,SMU
Lipscomb,Saint Peter's
South Carolina,South Carolina St.
Southern Miss.,Union (TN)
Southern Utah,Bethesda (CA)
Stetson,The Citadel
Syracuse,Monmouth
Texas A&M,Southern California
Arizona St.,Tulane
Col. of Charleston,UCF
High Point,UNCG
Western Mich.,UTEP
VCU,Binghamton
Wake Forest,Villanova
Creighton,Washington St.
Florida St.,Winthrop
Grand Canyon,Albany (NY)
Army West Point,Arkansas St.
Miami (OH),Austin Peay
Belmont,Western Ky.
Butler,Bucknell
CSUN,Northern Ill.
Cal Poly,Bethesda (CA)
UNLV,Cal St. Fullerton
Morgan St.,Campbell
Chattanooga,Central Ark.
Charleston So.,USC Upstate
Saint Francis (PA),Chatham
Rhode Island,Cincinnati
BYU,Coastal Caro.
IUPUI,Eastern Mich.
Evansville,Morehead St.
Wagner,Fairfield
Lipscomb,Fairleigh Dickinson
Fresno St.,Lamar University
Furman,Trinity Baptist
Providence,Grambling
Murray St.,Green Bay
Gardner-Webb,Howard
Ill.-Chicago,Trinity Christian
Indiana,Liberty
Indiana St.,Mo.-St. Louis
FIU,Jacksonville
Nebraska,Louisiana Tech
Vermont,Lyndon St.
Boston U.,Maine
Brown,Marist
Marshall,Western Caro.
Memphis,Savannah St.
Miami (FL),Penn
Middle Tenn.,Tennessee St.
NJIT,Colgate
High Point,Navy
UNCG,North Dakota St.
LIU Brooklyn,Northeastern
Delaware,Northern Ky.
Oakland,Chicago St.
Loyola Chicago,Oral Roberts
Duke,Penn St.
Omaha,Rice
Dayton,Saint Mary's (CA)
Fordham,Saint Peter's
Santa Clara,Northern Colo.
Wyoming,South Dakota St.
South Fla.,Rider
La Salle,Texas Southern
Texas Tech,Eastern Ky.
Wright St.,Toledo
Tulsa,New Orleans
UC Irvine,Pacific
CSU Bakersfield,UC Santa Barbara
UMBC,Kennesaw St.
Bowling Green,UMKC
Fort Wayne,UMass Lowell
UTSA,Prairie View
Utah St.,Idaho St.
Utah Valley,Benedictine Mesa
Virginia Tech,VMI
Montana,Washington St.
Eastern Ill.,Western Ill.
William & Mary,Presbyterian
South Ala.,Youngstown St.
Davidson,Arizona St.
Chattanooga,Arkansas St.
Delaware,Austin Peay
New Mexico St.,Bethune-Cookman
Western Mich.,Boise St.
Boston College,Stony Brook
Albany (NY),Brown
Army West Point,Central Ark.
Oklahoma,Clemson
Col. of Charleston,Wake Forest
Lafayette,Cornell
Florida St.,Detroit Mercy
Kentucky,Duquesne
Michigan St.,FGCU
Youngstown St.,FIU
Fla. Atlantic,Edward Waters
Air Force,Florida A&M
Fordham,Lipscomb
Mercer,Ga. Southern
Bowling Green,Green Bay
Kansas St.,Hampton
Iowa,UTRGV
South Ala.,Jacksonville
Boston U.,LIU Brooklyn
UCLA,Long Beach St.
Northeastern,Maine
Temple,Manhattan
Grand Canyon,Marist
Holy Cross,Massachusetts
McNeese,Southern-N.O.
DePaul,Milwaukee
UTEP,Mississippi St.
Creighton,NC State
Nevada,Iona
West Virginia,New Hampshire
Rutgers,Niagara
San Diego,Nicholls St.
North Dakota,Presentation
High Point,North Dakota St.
North Texas,Drexel
Washington,Northern Ariz.
Miami (OH),Northern Ky.
Saint Joseph's,Ole Miss
Cincinnati,Penn St.
Lehigh,Princeton
Akron,Radford
Duke,Rhode Island
Richmond,Robert Morris
Fairleigh Dickinson,Saint Peter's
Tennessee Tech,Sam Houston St.
Stanford,Colorado St.
East Carolina,Stetson
Iowa St.,The Citadel
Maryland,Towson
Missouri,Tulane
Villanova,UCF
Wichita St.,UMES
Murray St.,UMKC
UNC Asheville,Siena
Navy,UNCG
UNCW,ETSU
Virginia,Yale
UNI,Xavier
Valparaiso,Alabama
Southern Miss.,Alabama A&M
Arizona,Northern Colo.
