Winner,Loser
Coastal Caro.,Akron
Middle Tenn.,Alabama St.
Albany (NY),Duquesne
Appalachian St.,Montreat
Austin Peay,Samford
BYU,Tennessee St.
Lipscomb,Belmont
St. Bonaventure,Bethune-Cookman
Loyola Maryland,Binghamton
Bradley,Eastern Ill.
Indiana,Bryant
CSU Bakersfield,UT Arlington
TCU,Cal Poly
Charlotte,Charleston So.
Claflin,South Carolina St.
Cleveland St.,Grambling
Col. of Charleston,Towson
Colorado St.,Montana
Southern California,Coppin St.
Creighton,North Texas
Iona,Denver
Detroit Mercy,Northern Mich.
Kent St.,Drexel
Duke,Georgia St.
Eastern Ky.,Cincinnati Christian
Eastern Mich.,Rochester College
Xavier,Fairleigh Dickinson
Florida St.,South Ala.
Texas St.,Fordham
Auburn,Fort Wayne
Texas,Fresno St.
Valparaiso,Ga. Southern
North Carolina,Gardner-Webb
George Mason,Virginia
Georgetown,Duquesne
Georgia,Jacksonville
Georgia Tech,Tulane
Monmouth,Hofstra
Houston,Florida A&M
Ark.-Pine Bluff,Houston Baptist
Illinois,Colgate
UCLA,Indiana St.
Iowa St.,Southern U.
Jacksonville St.,Reinhardt
Kansas,Southeast Mo. St.
LIU Brooklyn,Morehead St.
Bowling Green,Lake Erie
Baylor,Lehigh
Richmond,Liberty
Little Rock,UT Martin
Marshall,Longwood
Loyola Chicago,Toledo
Loyola Marymount,Pacifica
Kentucky,Maryland
McNeese,Louisiana Col.
NC State,Miami (OH)
UConn,Michigan St.
Alabama A&M,Miles
Milwaukee,Mary
Minnesota,American
Troy,Mississippi St.
Missouri St.,Philander Smith
UTSA,Morgan St.
Murray St.,Brescia
Oregon St.,Niagara
Rhode Island,Norfolk St.
Kansas St.,North Dakota
North Dakota St.,Valley City St.
Northeastern,Boston U.
Old Dominion,Holy Cross
Ole Miss,Mississippi Val.
Omaha,Northern Ill.
Penn St.,Saint Francis (PA)
CSUN,Pepperdine
Pittsburgh,Mt. St. Mary's
Portland St.,Pacific (OR)
Texas Tech,Prairie View
Purdue,Bucknell
Wake Forest,Radford
Rider,Robert Morris
Rutgers,Saint Peter's
Sacramento St.,UC Merced
Saint Louis,USC Upstate
Arkansas,Sam Houston St.
San Diego,San Diego Christian
Stanford,San Francisco
New Orleans,San Jose St.
Savannah St.,Trinity Baptist
Alabama,South Dakota St.
Gonzaga,Southern Utah
Lafayette,St. Francis Brooklyn
Miami (FL),Stetson
Marist,Stony Brook
Tennessee,Kennesaw St.
Texas A&M,Louisiana Tech
Oklahoma St.,UC Davis
DePaul,UC Riverside
LSU,UC Santa Barbara
Penn,UMBC
Seton Hall,UMKC
UNC Asheville,Western Caro.
High Point,UNCG
UTEP,Oral Roberts
Iowa,UTRGV
IUPUI,Utah Valley
VCU,FGCU
Siena,Vermont
Villanova,Dist. Columbia
Weber St.,Arizona Christian
William & Mary,Hampton
Colorado,Wofford
Idaho,Wright St.
Arizona St.,Central Ark.
Air Force,Army West Point
Fairfield,Central Conn. St.
Furman,Columbia
Dartmouth,Maine
Dayton,Arkansas St.
East Carolina,Wash. & Lee
Washington St.,Eastern Wash.
Butler,Elon
Notre Dame,Evansville
Green Bay,Chicago St.
Hartford,Quinnipiac
Hawaii,UMES
Howard,Lincoln (PA)
La Salle,Delaware
Long Beach St.,North Ala.
Old Dominion,Morgan St.
Providence,NJIT
New Hampshire,Suffolk
North Florida,Edward Waters
Oregon,Northern Ariz.
Northern Colo.,Southwest (NM)
Ohio,Portland
Buffalo,Princeton
Missouri,SIUE
Santa Clara,Simpson (CA)
Tennessee Tech,Crowley's Ridge
UC Irvine,Nevada
South Fla.,UCF
Holy Cross,UTSA
