Winner,Loser
Air Force,Army
Akron,Coastal Carolina
Oklahoma,Alabama
Alabama-Birmingham,Columbus State
Arizona,Cal Poly
Arizona State,UMBC
Arkansas,Southern Illinois-Edwardsville
Auburn,Nicholls State
Austin Peay,Oakland City
Baylor,Colorado
Loyola (MD),Binghamton
Boise State,Texas-Arlington
Bradley,Jacksonville State
BYU,Weber State
Cal State Northridge,Hope International
University of California,Coppin State
Fresno State,UC-Irvine
UCSB,Hawaii Pacific
Campbell,Shenandoah
UCF,Tampa
Central Michigan,Manchester
Charleston Southern,Johnson University
Charlotte,ETSU
Chattanooga,Covenant
Cincinnati,North Carolina Central
Clemson,Stetson
Colorado State,Colorado-Colorado Springs
UConn,Maryland
Creighton,Alcorn State
Duke,Davidson
East Carolina,North Carolina Wesleyan
Eastern Kentucky,Florida International
Eastern Michigan,Albion
Elon,Washington & Lee
Fairleigh Dickinson,Caldwell
Florida,North Florida
Florida Atlantic,Ave Maria
Florida State,Jacksonville
Fordham,Saint Francis (PA)
Furman,Sewanee
George Mason,American
George Washington,Radford
Oregon,Georgetown
Georgia,Wofford
Georgia Southern,Columbia International
Georgia Tech,Presbyterian
Loyola Marymount,Grand Canyon
Hampton,William & Mary
Hawaii,Tennessee State
Monmouth,Hofstra
Houston,Texas State
Howard,Washington College
Illinois,Alabama State
Indiana,Chicago State
Iowa,North Carolina-Wilmington
Kansas,Louisiana-Monroe
Northern Colorado,Kansas State
Youngstown State,Kennesaw State
Kent State,Ohio Northern
Kentucky,North Carolina-Asheville
Liberty,Randolph
Belmont,Lipscomb
Loyola (IL),Milwaukee
Marquette,Southern
Marshall,South Carolina State
St. Francis (NY),Miami (FL)
Michigan,UMass-Lowell
Michigan State,McNeese State
Minnesota,Lehigh
Ole Miss,Troy
Mississippi State,Prairie View
Missouri,Southeastern Louisiana
Emporia State,UMKC
Nebraska,Florida Gulf Coast
Pacific,Nevada
UNLV,Portland State
Western Michigan,New Mexico State
UNC,Oakland
North Carolina A&T,Greensboro
North Carolina-Greensboro,High Point
North Carolina State,Appalachian State
North Dakota State,Viterbo University
North Texas,Northwood (TX)
Omaha,Northern Illinois
Northwestern State,LeTourneau
Notre Dame,Miami (OH)
Oklahoma State,Mississippi Valley State
Missouri State,Old Dominion
Pitt,Savannah State
Portland,UC-Davis
Providence,Boston College
Purdue,Northern Kentucky
Rhode Island,Maine
Richmond,Delaware
Rutgers,Florida A&M
Sacramento State,UC-Santa Cruz
Saint Louis,Southeast Missouri State
Saint Mary's (CA),Louisiana Tech
Samford,Martin Methodist
San Diego,South Dakota State
San Diego State,UC-Riverside
San Francisco,Notre Dame de Namur
Santa Clara,Bethesda
Albany (NY),Siena
South Alabama,Detroit
SMU,Texas Christian
Southern Miss,Jackson State
Southern Utah,Arizona Christian
Wisconsin,St. John's (NY)
Stanford,Bucknell
Stephen F. Austin,Texas-Tyler
Stony Brook,Marist
Syracuse,Cornell
Texas,Mercer
Texas A&M,Buffalo
Texas A&M-Corpus Christi,Huston-Tillotson
Sam Houston State,Texas-Rio Grande Valley
Texas Tech,Houston Baptist
Towson,Navy
Tulane,NJIT
UCLA,Drexel
Utah,Evergreen State
Utah State,USC
Utah Valley,IUPUI
Valparaiso,Murray State
Villanova,Lafayette
Virginia,James Madison
VCU,Illinois State
Virginia Military Institute,Citadel
Wake Forest,Colgate
Washington State,Cal State Bakersfield
West Virginia,Mount St. Mary's
Western Carolina,Wittenberg
Wyoming,UT-Martin
Xavier,Gardner-Webb
Army,Citadel
Bethune-Cookman,Trinity Baptist
Bowling Green State,Earlham (IN)
Butler,Lamar
Yale,Central Connecticut
Chicago State,Urbana
Cleveland State,Iona
Columbia,Maryland-Eastern Shore
Dayton,Fort Wayne
Delaware State,Cairn
DePaul,Grambling
Duquesne,Abilene Christian
Evansville,Martin Methodist
Fairfield,Sacred Heart
Youngstown State,Florida International
Georgia State,Southern Tech
Gonzaga,Bryant
Green Bay,Northern Michigan
Quinnipiac,Hartford
Idaho,Western Illinois
Idaho State,Evergreen State
Drake,UIC
Indiana State,Ball State
Eastern Kentucky,Kennesaw State
Manhattan,La Salle
Long Beach State,Hawaii Pacific
LIU-Brooklyn,St. Peter's
Louisiana,Louisiana College
Louisville,College of Charleston
Loyola Marymount,South Dakota State
Cal State Fullerton,Montana State
Morehead State,Mid-Continent
New Hampshire,Suffolk
New Mexico,Alabama A&M
New Mexico State,Tennessee State
Northwestern,Eastern Illinois
Incarnate Word,Northwood (TX)
Ohio,Northern Iowa
Ohio State,Morgan State
Penn State,Wagner
Temple,Penn
Pepperdine,San Diego Christian
Rice,St. Thomas (TX)
Robert Morris,Savannah State
San Diego,Grand Canyon
Seton Hall,Niagara
South Carolina,Longwood
South Florida,Tennessee Tech
St. Bonaventure,South Dakota
UTEP,Loyola (LA)
Northern Arizona,UTSA
Texas Southern,Norfolk State
Toledo,Northwestern Ohio
St. Joseph's,Vermont
Virginia Military Institute,Air Force
