Winner,Loser
Illinois,UC-Irvine
Maryland,Seattle
Pitt,Rhode Island
Texas,Navy
Illinois,Toledo
Maryland,College of Charleston
Pitt,UIC
Texas,Louisiana Tech
Akron,Millikin
Alabama,Florida A&M
Cornell,Albany (NY)
American,Saint Francis (PA)
Army,Vassar
North Carolina-Asheville,Auburn
Baylor,Grambling
Boston College,St. Francis (NY)
Bradley,Texas A&M-Kingsville
BYU,Fresno State
Central Michigan,Cal State Fullerton
UCSB,Denver
Canisius,St. Bonaventure
UCF,West Florida
Gardner-Webb,Charlotte
Chicago State,Concordia (IL)
Clemson,Western Carolina
Cleveland State,Bryant
Coastal Carolina,Piedmont
Colorado,Idaho State
UConn,Stony Brook
Creighton,Alabama State
East Carolina,Erskine
South Dakota State,Eastern Illinois
San Jose State,Eastern Washington
Florida,North Carolina-Wilmington
Florida Atlantic,UC-Davis
Florida International,Florida Memorial
Florida State,North Florida
Brown,Fordham
Furman,North Greenville
Georgia,Mississippi Valley State
Georgia Tech,Charleston Southern
Gonzaga,Southern
Hawaii,Montana State
Houston,Nicholls State
Howard,Bowling Green State
Indiana,Florida Gulf Coast
Kent State,Iona
Iowa State,Northern Arizona
Kansas,Longwood
Kansas State,James Madison
Kennesaw State,Georgia Southwestern
Kentucky,ETSU
La Salle,Columbia
Lamar,Lyon
Liberty,Virginia Intermont
LIU-Brooklyn,Norfolk State
New Mexico State,Louisiana
LSU,Northwestern State
Loyola (IL),Eastern Kentucky
Morgan State,Loyola Marymount
Drexel,Loyola (MD)
Marquette,Prairie View
Marshall,West Virginia Tech
Tulane,Maryland-Eastern Shore
UMass,Rider
Memphis,Centenary (LA)
Mercer,Oglethorpe
Miami (FL),Jacksonville
Miami (OH),Towson
Michigan State,Eastern Michigan
Middle Tennessee,Tennessee Temple
Minnesota,Wofford
Ole Miss,Arkansas State
Mississippi State,Tennessee State
UMKC,Truman State
Missouri State,Oral Roberts
Morehead State,Asbury
Nebraska,South Dakota
UNLV,UC-Riverside
UNC,Lipscomb
North Carolina Central,Johnson & Wales (NC)
North Carolina State,Tennessee Tech
North Dakota,Waldorf
North Texas,Henderson State
Northeastern,Boston University
Northern Colorado,Tabor College
Northwestern,Northern Illinois
Notre Dame,Georgia Southern
Ohio State,North Carolina A&T
Oklahoma,Coppin State
Georgetown,Old Dominion
Oregon,North Dakota State
Penn State,Lehigh
Portland,Milwaukee
Portland State,Pepperdine
Princeton,Rutgers
Rice,St. Thomas (TX)
Richmond,Citadel
Western Kentucky,St. Joseph's
Austin Peay,Saint Louis
Saint Mary's (CA),College of Idaho
San Diego,Occidental
San Francisco,Seattle
Santa Clara,Cal State Bakersfield
Savannah State,Brewton-Parker
South Alabama,Spring Hill
South Carolina,Elon
Southern Miss,South Florida
Southeastern Louisiana,Millsaps
Fort Wayne,Southern Illinois-Edwardsville
Little Rock,SMU
Stephen F. Austin,Howard Payne
Syracuse,Northern Iowa
Temple,Seton Hall
Tennessee,Chattanooga
UT-Martin,MacMurray
Texas A&M,Alcorn State
Texas-Arlington,Texas Lutheran
Texas Christian,Jackson State
Pacific,UTEP
Indiana State,Texas-Rio Grande Valley
UTSA,Huston-Tillotson
Texas State,Sul Ross State
Texas Tech,Louisiana-Monroe
Troy,Huntington
Appalachian State,Tulsa
UCLA,Cal State Northridge
Utah,Grand Canyon
Maine,Utah Valley
Valparaiso,Indiana-Northwest
Vanderbilt,Presbyterian
Villanova,Bucknell
Virginia,William & Mary
VCU,North Carolina-Greensboro
Virginia Military Institute,Randolph
Virginia Tech,Campbell
Wagner,Lafayette
Stetson,Wake Forest
West Virginia,Oakland
Western Illinois,St. Francis (IL)
Xavier,Western Michigan
Youngstown State,Samford
Alabama A&M,Talladega
Alabama-Birmingham,Southeast Missouri State
Bethune-Cookman,Edward Waters
Boise State,Western State
Buffalo,Navy
Butler,Marian (IN)
Central Arkansas,Hendrix
Charlotte,South Carolina State
Cleveland State,Iona
Coastal Carolina,LaGrange
Binghamton,Colgate
Colorado State,Arkansas-Pine Bluff
Dayton,Mount St. Mary's
Delaware State,Washington Adventist
Drake,Texas Southern
Duquesne,Bluefield (WV)
Texas-Rio Grande Valley,Eastern Kentucky
Evansville,Oakland City
Fairfield,Sacred Heart
Gardner-Webb,Mary Washington
George Mason,Harvard
Green Bay,Minnesota-Duluth
Central Connecticut,Hartford
Hawaii,Cal State Fullerton
High Point,Ferrum
Hofstra,Farmingdale State
College of Charleston,Holy Cross
Idaho,Eastern Oregon
Illinois,Southern Illinois
Jacksonville State,West Alabama
Kent State,Bryant
San Diego State,Long Beach State
Louisiana Tech,Austin College
Loyola (IL),Indiana State
Michigan,South Carolina Upstate
Florida Atlantic,Milwaukee
Nevada,Montana
New Hampshire,Lesley
New Mexico,Detroit
Manhattan,NJIT
North Dakota State,UCSB
Ohio,Delaware
Oklahoma State,Houston Baptist
Oregon,Denver
Penn,Davidson
Pitt,North Florida
Portland,UC-Davis
Providence,Dartmouth
Radford,Emory & Henry
Robert Morris,St. Peter's
Sam Houston State,Mary Hardin-Baylor
Vermont,Siena
USC,UC-Irvine
Texas A&M-Corpus Christi,Northeastern State
Utah State,Weber State
Washington,McNeese State
Washington State,Southern
Winthrop,Queens (NC)
Wyoming,Kean
Quinnipiac,Yale
Air Force,Colorado-Colorado Springs
Arizona,Idaho State
Ball State,Eastern Illinois
Milwaukee,UC-Davis
Montana State,Central Michigan
Cleveland State,Kent State
Creighton,Northern Arizona
North Dakota State,Denver
DePaul,Chicago State
Duke,Princeton
Gonzaga,IUPUI
Houston,Alcorn State
Illinois State,Southern Illinois-Edwardsville
Indiana,Wright State
Eastern Kentucky,Indiana State
Bryant,Iona
South Dakota State,Iowa
Iowa State,Alabama State
Loyola (IL),Texas-Rio Grande Valley
Loyola Marymount,La Sierra
Marquette,Bucknell
Maryland,Maine
Virginia Military Institute,UMBC
Morehead State,North Carolina A&T
Florida State,North Carolina-Greensboro
Notre Dame,Liberty
Oregon,UCSB
Oregon State,Texas-Arlington
Portland,Florida Atlantic
Purdue,Howard
Radford,Methodist
Rice,Grambling
Rider,Lafayette
Cal State Bakersfield,Sacramento State
