Winner,Loser
Eastern Michigan,Spring Arbor
Cincinnati,Savannah State
Middle Tennessee,Trevecca Nazarene
Stetson,Webber
Baylor,Central Arkansas
Jackson State,Millsaps
New Hampshire,Wheelock
Lamar,Tulsa
Citadel,Oglethorpe
Central Michigan,Siena Heights
Eastern Washington,Walla Walla
Penn State,Campbell
James Madison,Bridgewater (VA)
Alabama,Memphis
Mississippi State,Alabama State
North Texas,Eureka
Holy Cross,Sacred Heart
Seton Hall,Fairleigh Dickinson
Virginia Tech,Detroit
Texas A&M,West Virginia
Albany (NY),Iona
Binghamton,Morgan State
Boston College,Maine
Northeastern,Boston University
Butler,Kennesaw State
Charlotte,Methodist
Clemson,Western Carolina
Coastal Carolina,Piedmont
College of Charleston,Siena
UConn,Colgate
Davidson,Charleston Southern
Dayton,Ball State
Delaware State,Cairn
Bowling Green State,Drexel
Duke,Elon
Florida International,Florida Memorial
Miami (OH),Fordham
Furman,Bob Jones University
George Mason,Lafayette
George Washington,Howard
Georgia,Bryant
Georgia State,Carver Bible
Harvard,MIT
Hofstra,Army
Indiana State,Indiana
Kentucky,Utah Valley
Liberty,Clarks Summit
Lipscomb,Emory
Louisiana Tech,Texas-Tyler
UMass,UMass-Lowell
UNC,Northern Iowa
North Carolina State,Virginia Military Institute
Northern Kentucky,ETSU
Oakland,Fort Wayne
Ohio State,Robert Morris
Old Dominion,Towson
Providence,Houston Baptist
Radford,Georgia Southwestern
Rhode Island,North Carolina-Asheville
Delaware,Richmond
Rutgers,CCNY
Southeast Missouri State,Missouri Baptist University
St. John's (NY),New Orleans
Stanford,Cal Poly
Maryland,Stony Brook
Syracuse,Cornell
Tennessee,Presbyterian
Virginia,North Carolina-Greensboro
VCU,Grambling
Georgia Southern,Wake Forest
Southern Illinois,Winthrop
Wisconsin,South Carolina State
South Carolina,Wofford
Xavier,Morehead State
Abilene Christian,Hillsdale
Alabama-Birmingham,Jacksonville
Arizona,Northern Arizona
Arkansas,Samford
Auburn,Norfolk State
Bethune-Cookman,Johnson University
UCF,Mercer
Colorado,Northern Colorado
Evansville,Arkansas State
Fresno State,UC-Santa Cruz
Hartford,Central Connecticut
High Point,William & Mary
Houston,McNeese State
Illinois,Southern
UIC,North Carolina Central
Incarnate Word,Southwestern
Jacksonville State,Tennessee Wesleyan
LSU,Alcorn State
Loyola (IL),Wright State
Marshall,UT-Martin
Maryland-Eastern Shore,Valley Forge
Miami (FL),Gardner-Webb
Michigan State,North Florida
Milwaukee,Wisconsin-La Crosse
Minnesota,South Carolina Upstate
Ole Miss,Louisiana
Monmouth,Bucknell
Montana State,Omaha
Murray State,Brescia
North Carolina A&T,Greensboro
Northwestern,Loyola (MD)
Oklahoma State,Pepperdine
Oral Roberts,Avila
Purdue,Southern Illinois-Edwardsville
Eastern Kentucky,Rice
Rider,Hampton
Saint Louis,Seattle
South Florida,Florida Atlantic
Southeastern Louisiana,Centenary (LA)
SMU,UMBC
Southern Miss,Southern-New Orleans
Niagara,St. Bonaventure
Tennessee Tech,Midway
Texas,Northwestern State
Texas A&M-Corpus Christi,Our Lady of the Lake
Nicholls State,Texas-Rio Grande Valley
Tulane,LIU-Brooklyn
Valparaiso,North Park
Villanova,Columbia
Missouri State,Western Kentucky
Wichita State,UMKC
Colorado State,Sacramento State
Creighton,Yale
Gonzaga,Texas Southern
Grand Canyon,Florida A&M
Iowa,Chicago State
Kansas,Tennessee State
Kansas State,American
Marquette,Mount St. Mary's
Missouri,Iowa State
Montana,Whitworth
Navy,Pitt
New Mexico State,East Central
North Dakota,Troy
South Dakota State,UC-Irvine
Texas Christian,Louisiana-Monroe
UTEP,Louisiana College
Texas Tech,South Alabama
Vanderbilt,Austin Peay
Weber State,Utah State
