1769,7,28,0,0,0,33.9,-117.8,6.0
1774,5,11,15,0,0,37.2,-77.4,4.5
1783,12,14,14,0,0,41.0,-74.5,5.3
1801,2,18,18,0,0,33.0,-117.3,6.5
1804,11,11,18,0,0,42.0,-87.8,4.4
1808,6,21,0,0,0,37.8,-122.5,6.0
1812,1,18,23,0,0,35.6,-90.4,7.2
1812,2,12,23,0,0,35.6,-90.4,7.0
1812,1,23,15,0,0,36.3,-89.6,7.1
1812,3,17,9,0,0,36.5,-89.6,7.4
1812,12,8,15,0,0,34.37,-117.65,6.9
1812,12,21,19,0,0,34.2,-119.9,7.1
1817,1,8,9,0,0,32.9,-80.0,5.0
1827,8,21,2,0,0,38.0,-87.5,4.8
1827,8,24,22,0,0,38.0,-88.0,4.8
1827,8,7,7,0,0,38.0,-88.0,4.7
1827,9,24,4,0,0,34.0,-119.0,5.5
1828,3,10,3,0,0,37.0,-80.0,4.6
2000,5,28,21,0,0,19.33,-155.21,5.0
2000,9,22,4,0,0,34.19,-117.39,4.5
1950,10,13,19,0,0,33.12,-115.57,0
2003,3,8,11,0,0,37.52,-118.59,0
1964,5,26,8,0,0,19.22,-154.4,0
1988,1,19,5,0,0,40.43,-120.57,0
1882,6,3,9,0,0,36.9,-121.2,0
1833,8,27,11,0,0,37.7,-78.0,4.5
1836,8,12,18,0,0,37.8,-122.2,6.8
1838,6,0,0,0,0,37.6,-122.4,7.0
1838,8,8,5,0,0,38.5,-89.0,5.2
1842,1,19,22,0,0,36.6,-89.2,4.6
1843,1,15,5,0,0,35.5,-90.5,6.0
1843,2,17,5,0,0,35.5,-90.5,4.8
1844,11,28,13,0,0,36.0,-84.0,4.2
1850,4,13,13,0,0,37.0,-88.0,4.9
1852,4,29,18,0,0,36.6,-81.6,4.8
1853,2,7,7,0,0,37.6,-78.6,4.3
1852,11,29,20,0,0,32.5,-115.0,6.5
1853,6,30,4,0,0,38.5,-79.5,4.6
1855,1,25,6,0,0,39.5,-120.3,5.5
1855,7,28,7,0,0,34.1,-118.1,6.0
1855,8,27,11,0,0,38.1,-122.5,4.9
1856,3,17,15,0,0,37.5,-122.5,5.3
1856,4,10,5,0,0,37.5,-122.3,5.5
1857,3,17,16,0,0,35.7,-120.3,7.6
1857,9,15,17,0,0,39.3,-120.0,6.0
1857,10,8,10,0,0,38.7,-89.2,4.9
1858,1,14,23,0,0,43.2,-78.6,4.3
1858,9,21,0,0,0,36.5,-89.2,4.2
1858,12,30,19,0,0,37.5,-121.9,6.1
1858,12,16,10,0,0,34.0,-117.5,6.0
1860,3,15,19,0,0,39.5,-119.5,6.3
1861,7,4,11,0,0,37.8,-122.0,5.6
1861,10,12,14,0,0,36.1,-81.1,5.0
1862,5,27,20,0,0,32.7,-117.2,5.9
1864,3,21,6,0,0,37.5,-122.2,4.8
1864,4,22,3,0,0,37.1,-121.7,5.9
1864,5,12,17,0,0,37.7,-122.0,5.7
1864,5,29,9,0,0,37.6,-122.1,5.3
1864,8,17,16,0,0,37.6,-122.0,4.7
1864,10,11,22,0,0,39.3,-121.0,4.5
1865,5,6,14,0,0,38.4,-122.6,4.7
1865,7,9,17,0,0,37.1,-121.8,5.5
1865,8,17,15,0,0,36.0,-89.5,5.0
1865,12,11,11,0,0,40.8,-124.1,5.4
1866,1,1,6,0,0,37.2,-121.9,6.3
1866,6,17,20,0,0,37.1,-121.6,5.4
1866,8,10,6,0,0,37.5,-121.3,5.8
1867,7,17,6,0,0,39.2,-96.3,5.1
1867,12,18,8,0,0,44.7,-75.2,4.3
1868,3,29,15,0,0,19.0,-155.5,7.0
1868,4,12,9,0,0,19.0,-155.5,7.9
1868,6,20,6,0,0,39.3,-119.7,5.8
1868,11,24,23,0,0,38.6,-119.7,5.2
1868,12,24,17,0,0,37.7,-122.1,6.8
1869,11,15,18,0,0,39.1,-123.1,5.0
1869,12,21,4,0,0,39.5,-120.6,4.8
1870,1,2,11,0,0,39.4,-119.7,6.1
1869,12,27,10,0,0,39.1,-119.8,5.9
1870,5,11,20,0,0,37.2,-122.1,5.8
1870,6,22,4,0,0,37.9,-122.3,5.3
1870,10,6,3,0,0,20.5,-157.0,6.0
1871,3,27,2,0,0,20.8,-157.0,7.0
1871,5,28,17,0,0,40.4,-124.2,5.9
1871,9,30,18,0,0,36.4,-118.0,5.2
1872,6,20,5,0,0,40.0,-117.5,5.5
1872,5,7,22,0,0,36.7,-118.1,7.3
1872,5,23,14,0,0,36.9,-118.2,6.5
1872,3,28,13,0,0,39.5,-120.4,4.9
1872,5,23,15,0,0,37.0,-118.2,6.1
1872,4,11,19,0,0,37.5,-118.5,6.6
1872,5,3,1,0,0,33.0,-115.0,5.5
1872,11,12,0,0,0,39.0,-117.0,6.0
1873,3,17,2,0,0,46.4,-112.5,5.0
1873,1,6,12,0,0,47.9,-120.3,7.0
1873,11,5,17,0,0,40.0,-118.0,5.5
1873,11,23,5,0,0,42.0,-124.0,6.7
1875,1,24,12,0,0,40.2,-120.5,5.8
1875,8,8,19,0,0,40.2,-84.0,4.7
1875,11,20,6,0,0,40.7,-124.0,5.5
1875,11,12,15,0,0,33.8,-82.5,4.3
1876,1,10,13,0,0,37.8,-78.0,4.8
1876,8,14,7,0,0,38.4,-122.9,4.2
1876,9,25,6,0,0,38.5,-87.8,4.5
1876,10,20,15,0,0,38.5,-87.8,4.8
1877,7,30,10,0,0,19.25,-155.0,6.2
1877,8,8,14,0,0,39.3,-120.0,5.0
1877,12,1,8,0,0,44.5,-74.0,4.9
1878,1,26,17,0,0,41.0,-97.0,5.1
1878,3,12,10,0,0,36.8,-89.1,4.2
1878,5,26,17,0,0,40.1,-124.0,5.8
1878,12,12,0,0,0,35.5,-90.7,4.9
